class,conf,x,y,z
umbrella,0.40475961565971375,-2.6963580124964963,0.02445539831650123,2.9561965539359707
clock,0.8383868932723999,12.511476240713892,-28.675621294240674,1.105500593592751
clock,0.8714049458503723,13.198055624441269,-27.812121299765835,1.1465438743455716
clock,0.8543087840080261,13.05608236251082,-27.910991816904307,1.1718339310805128
clock,0.863315224647522,13.084651032498225,-27.88047941259597,1.2117090071182015
clock,0.8165581226348877,13.053790203775613,-27.90998296278574,1.0531903296694856
clock,0.8099901676177979,13.171311497729793,-27.720325523813038,1.1648340554211358
clock,0.868476927280426,13.254082903109406,-27.612542815337832,1.1021608798569367
clock,0.8902848362922668,13.185847655875307,-27.674187052805756,1.1009043385140989
clock,0.8368711471557617,13.104139512158747,-27.745957736001547,1.0969229696338734
clock,0.8327349424362183,13.068965924347136,-27.80480425106818,1.1180993862021662
clock,0.784820556640625,13.128056292619727,-27.71826526664092,1.1533523257532938
clock,0.866351306438446,13.136884215065916,-27.711459090029145,1.0575071607870254
clock,0.863863468170166,13.11737917272573,-27.763613479593847,1.1301510561261066
clock,0.8621657490730286,13.125015259691505,-27.75410775308432,1.1096018140969457
clock,0.8520652055740356,13.151344362900419,-27.72014140190528,1.0724261124386558
clock,0.8920577764511108,13.124984142586161,-27.75034860634206,1.0945612272523624
clock,0.8868961334228516,13.171245331997994,-27.682882744689064,1.1196217123832446
clock,0.8880060315132141,13.189751540450517,-27.673032317083738,1.1122028352533144
clock,0.896892786026001,13.130716533166328,-27.74551201837387,1.1154911993367482
clock,0.8858575224876404,13.200291040031628,-27.667354900567947,1.1136440461201844
clock,0.8947858810424805,13.133973605036097,-27.746640551633377,1.0635860503852788
clock,0.8993635773658752,13.220581112030512,-27.66785799146459,1.0657492449825596
clock,0.893573522567749,13.13540389334362,-27.73869787528225,1.1084635303366552
clock,0.884581983089447,13.194902827742178,-27.67974207823558,1.1197915661196483
clock,0.824141263961792,13.119774949500155,-27.739763852133386,1.1510443233016685
clock,0.8855945467948914,13.165510818716186,-27.698600245941883,1.1372548785254621
clock,0.8812652826309204,13.173654492006408,-27.68092903387676,1.1552650311798138
clock,0.8778612017631531,13.153095495506708,-27.694927204844213,1.14958566706862
clock,0.8640376925468445,13.108744577166854,-27.737480973334346,1.155070157860719
clock,0.8650240898132324,13.112452874666698,-27.72625240606944,1.154568186731275
clock,0.8655890226364136,13.155845028216168,-27.675897700249255,1.1466246472444948
clock,0.8607680797576904,13.167138789979104,-27.68021026922141,1.1481448382987456
clock,0.8884539604187012,13.240766950337544,-27.63056657902498,1.1452417025957111
clock,0.8902372121810913,13.208786499885054,-27.651474988448083,1.1285372818058685
umbrella,0.5883845686912537,30.17742029817556,-8.725742072705112,0.4946239806146845
stop sign,0.6707708835601807,28.53502946249608,-2.4730055542064036,0.6088113215102938
stop sign,0.8348944187164307,28.513418147489176,-2.4824383351416377,0.679112426801017
stop sign,0.7881615161895752,28.42436267172786,-2.5808158726074577,0.6040883508179006
stop sign,0.7539223432540894,28.412765384022507,-2.5749565899715714,0.5828439112345559
stop sign,0.8591892719268799,28.371906274126502,-2.6010042317427255,0.6711698166180113
stop sign,0.8931382298469543,28.562416774509156,-2.3329469980991413,0.6044924168185513
stop sign,0.5661442279815674,28.525679236975,-2.6649427547937403,0.7336270328008345
stop sign,0.5400397181510925,28.322442482536506,-2.613162806495606,0.6656317800293826
stop sign,0.7174676656723022,28.447055350515765,-2.632676509894045,0.681226934813244
stop sign,0.5812438726425171,28.451785447697517,-2.65952396529596,0.7112981353087197
stop sign,0.6818391680717468,28.41758032475221,-2.645353623650599,0.7238521153688
stop sign,0.6487127542495728,28.43448139805257,-2.654483679767714,0.7087180729922014
stop sign,0.84125155210495,28.403433312735107,-2.6385546570949323,0.6930721117141071
stop sign,0.7874327301979065,28.473258146420974,-2.623495823152618,0.6951645266407076
stop sign,0.8541218042373657,28.458867243102723,-2.625096500171916,0.6854116351924449
stop sign,0.8650193214416504,28.484995144933272,-2.6245988835163576,0.6634826345519784
stop sign,0.8850592970848083,28.55885274151085,-2.629422974933097,0.7036840414977747
stop sign,0.8645407557487488,28.57874727523592,-2.6331828081255706,0.6909042947222713
stop sign,0.8967255353927612,28.533748970614777,-2.6357455314579328,0.7263205676241565
stop sign,0.8846842050552368,28.47236399743897,-2.631888588116571,0.7296366138074919
stop sign,0.8715072870254517,28.46916641150001,-2.633050723151486,0.6809462147819805
stop sign,0.9022909998893738,28.478538791217172,-2.643963359312999,0.7403498462000192
stop sign,0.8820619583129883,28.488278519168247,-2.6398793697285843,0.6723448065071962
stop sign,0.9001896977424622,28.482778263354813,-2.641233837196104,0.6711756432214933
stop sign,0.886285126209259,28.49318221269447,-2.637206492085873,0.7034761163948409
stop sign,0.9075803756713867,28.49995929610269,-2.6363912407104007,0.7334975646677799
stop sign,0.8993180990219116,28.480266614253107,-2.6199941896595895,0.6974868442465897
umbrella,0.4656863808631897,-5.800272621258937,-1.2320791340463906,1.8025751504888703
umbrella,0.40207111835479736,-2.8222528887119847,0.8339311575272852,1.6736921983093407
umbrella,0.451434463262558,-2.6023702880026542,0.1094433372491217,2.097606223382477
backpack,0.41379833221435547,-2.3547869502674525,2.5257405300398768,0.6959805325097073
backpack,0.7511454224586487,-2.295324925290714,2.4913631518792174,0.6783833540981685
backpack,0.6446356773376465,-2.322535608063427,2.5266977884443276,0.6855903226984426
backpack,0.6354370713233948,-2.4067174176485073,2.576271693032119,0.7068480573376908
