class,x,y,z
umbrella,-2.6468,0.0692659,2.5035
clock,12.9275,-28.093,1.13683
clock,13.1588,-27.7097,1.1209
umbrella,30.1774,-8.72574,0.494624
stop sign,28.4764,-2.60677,0.68408
umbrella,-5.80027,-1.23208,1.80258
umbrella,-2.82225,0.833931,1.67369
backpack,-2.34151,2.52856,0.690659
