class,conf,x,y,z
stop sign,0.776995837688446,0.684286386440969,-0.43389600033703085,0.03167531115034988
stop sign,0.8719436526298523,0.675149325398128,-0.46584111569531045,0.03415580599080953
stop sign,0.9052897691726685,0.6914037928200238,-0.5102098786663849,0.020641132327883477
stop sign,0.9094851016998291,0.6604185834457633,-0.533975935979216,-0.0025382260995817085
stop sign,0.890775740146637,0.6896999448525925,-0.5482332171561038,0.03673195987550204
stop sign,0.885967493057251,0.6738608844499245,-0.5341283225415442,0.029704559326074104
stop sign,0.8897563219070435,0.6694469432011974,-0.5437361249989808,-0.012608452191291392
stop sign,0.8934035301208496,0.665989142276185,-0.5507202284415168,0.01651758133247752
stop sign,0.8985077142715454,0.6821936369738735,-0.5534275175889453,0.00676802310853189
stop sign,0.8900032043457031,0.6398781982292188,-0.5492536382058418,0.03132648940253416
stop sign,0.8982052803039551,0.7170052145801049,-0.5891319254339925,0.03897474482021357
stop sign,0.8931921124458313,0.6884651249548671,-0.5627344560376042,0.04594912474751339
stop sign,0.905062198638916,0.7259061678910992,-0.5306450759718431,0.027476178686628383
stop sign,0.9025518298149109,0.704769575246972,-0.5314303314456847,0.05457314406972885
stop sign,0.906065046787262,0.6932976386199279,-0.5395164362747847,0.05338920268751515
stop sign,0.9038166999816895,0.6847210811756526,-0.5402495251351156,0.054193394131419964
stop sign,0.904755175113678,0.6827663315881356,-0.5498339226632749,0.05036897168535728
stop sign,0.904722273349762,0.6811190519479597,-0.5516252724460957,0.05097988832369682
stop sign,0.9054695963859558,0.6824901763459805,-0.5571310611221167,0.04716870026390152
stop sign,0.9056485295295715,0.6856049295731368,-0.5543896660635124,0.046603115443954124
stop sign,0.9053003787994385,0.6889852543089252,-0.5588750439259657,0.042799038140871576
stop sign,0.9069806337356567,0.6892987962709709,-0.5629192807575036,0.04285026492159172
stop sign,0.9056460857391357,0.6918624780727329,-0.5646960119837762,0.04159902174894614
stop sign,0.9049004912376404,0.6925514180763384,-0.5674677043843322,0.04162912490565343
stop sign,0.9052406549453735,0.696798740459867,-0.5624577353399588,0.041695930819075466
stop sign,0.9048069715499878,0.6948759791776136,-0.5631550770801652,0.042304899235507204
stop sign,0.9057080745697021,0.6973652694339345,-0.5593461906594415,0.041025920435307395
stop sign,0.9053281545639038,0.6941511137728629,-0.5598023636918569,0.04166323680931458
stop sign,0.9052448868751526,0.6960125357588773,-0.558422301472072,0.040613449274481045
stop sign,0.9041373133659363,0.69434048114415,-0.5554754933283653,0.0399406612721058
stop sign,0.9043565392494202,0.6923551979528639,-0.5561149041240983,0.038986261599999295
stop sign,0.908103346824646,0.687600880433267,-0.5490411017268625,0.04072418505960024
stop sign,0.900115966796875,0.691296375902499,-0.5507640313772189,0.0439414742923562
stop sign,0.8810778856277466,0.6761580986380964,-0.5633809847476996,0.05048887248843251
stop sign,0.8936842679977417,0.6982596216904695,-0.5678925515204309,0.031084090572682493
stop sign,0.8841688632965088,0.6884116318024978,-0.5928237983728203,0.02490485046942112
stop sign,0.8793174028396606,0.7100437657254219,-0.6320448114068129,0.015611241359148459
